year,co2
1881,291.2
1882,291.7
1883,292.1
1884,292.6
1885,293
1886,293.3
1887,293.6
1888,293.8
1889,294
1890,294.2
1891,294.3
1892,294.5
1893,294.6
1894,294.7
1895,294.8
1896,294.9
1897,295
1898,295.2
1899,295.5
1900,295.8
1901,296.1
1902,296.5
1903,296.8
1904,297.2
1905,297.6
1906,298.1
1907,298.5
1908,298.9
1909,299.3
1910,299.7
1911,300.1
1912,300.4
1913,300.8
1914,301.1
1915,301.4
1916,301.7
1917,302.1
1918,302.4
1919,302.7
1920,303
1921,303.4
1922,303.8
1923,304.1
1924,304.5
1925,305
1926,305.4
1927,305.8
1928,306.3
1929,306.8
1930,307.2
1931,307.7
1932,308.2
1933,308.6
1934,309
1935,309.4
1936,309.8
1937,310
1938,310.2
1939,310.3
1940,310.4
1941,310.4
1942,310.3
1943,310.2
1944,310.1
1945,310.1
1946,310.1
1947,310.2
1948,310.3
1949,310.5
1950,310.7
1951,311.1
1952,311.5
1953,311.9
1954,312.4
1955,313
1956,314
1957,315
