EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  229,100707,BADAJOZ/TALAVERA LA REAL                ,ES,+38:53:00,-006:49:45, 185, TN3,19550101,20231031,   31,Roser Botey Fullat                                
  231,100711,MALAGA AEROPUERTO                       ,ES,+36:40:00,-004:29:17,   7, TN3,19420501,20231031,   31,Roser Botey Fullat                                
  231,908482,MALAGA/AEROPUERTO                       ,ES,+36:40:00,-004:29:00,   7, TN6,19820217,20200229,     ,                    
  232,100714,NAVACERRADA                             ,ES,+40:46:50,-004:00:37,1894, TN3,19460101,20231031,   31,Roser Botey Fullat                                
  232,908215,NAVACERRADA                             ,ES,+40:47:00,-004:01:00,1888, TN6,19820303,20200229,     ,                    
  233,100717,SALAMANCA AEROPUERTO                    ,ES,+40:57:34,-005:29:54, 790, TN3,19450101,20231031,   31,Roser Botey Fullat                                
  233,908202,SALAMANCA/MATACAN                       ,ES,+40:57:00,-005:30:00, 794, TN6,19820212,20200229,     ,                    
  234,100720,SAN SEBASTIAN - IGUELDO                 ,ES,+43:18:27,-002:02:22, 251, TN3,19280102,20231031,   31,Roser Botey Fullat                                
  235,100723,TORREVIEJA                              ,ES,+37:58:38,-000:42:39,   1, TN3,19270101,20101031,   31,Roser Botey Fullat                                
