EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT

  229,BADAJOZ/TALAVERA LA REAL                ,ES,+38:53:00,-006:49:45, 185
  231,MALAGA AEROPUERTO                       ,ES,+36:40:00,-004:29:17,   7
  232,NAVACERRADA                             ,ES,+40:46:50,-004:00:37,1894
  233,SALAMANCA AEROPUERTO                    ,ES,+40:57:34,-005:29:54, 790
  234,SAN SEBASTIAN - IGUELDO                 ,ES,+43:18:27,-002:02:22, 251
  235,TORREVIEJA                              ,ES,+37:58:38,-000:42:39,   1
  236,TORTOSA - OBSERVATORIO DEL EBRO         ,ES,+40:49:14,+000:29:29,  44
  237,VALENCIA                                ,ES,+39:28:50,-000:21:59,  11
  238,ZARAGOZA AEROPUERTO                     ,ES,+41:39:43,-001:00:29, 247
  230,MADRID - RETIRO                         ,ES,+40:24:43,-003:40:41, 667
  309,ALICANTE EL ALTET                       ,ES,+38:16:58,-000:34:15,  43
  412,ALICANTE                                ,ES,+38:22:21,-000:29:39,  81
  337,CORDOBA AEROPUERTO                      ,ES,+37:50:39,-004:50:46,  90
 3838,ROTA                                    ,ES,+36:38:20,-006:19:54,  21
 3839,MADRID/TORREJON                         ,ES,+40:29:00,-003:27:01, 611
  420,A CORUNA                                ,ES,+43:22:02,-008:25:10,  58
 3903,A CORUNA/ALVEDRO                        ,ES,+43:18:25,-008:22:20,  98
 1394,SANTIAGO DE COMPOSTELA/LABACOLLA        ,ES,+42:53:16,-008:24:39, 370
 3904,VITORIA AERODROMO                       ,ES,+42:51:03,-002:39:17, 521
 3905,VITORIA/FORONDA                         ,ES,+42:52:19,-002:44:00, 513
 3906,ALBACETE OBS.                           ,ES,+39:00:25,-001:51:39, 674
  336,ALBACETE LOS LLANOS                     ,ES,+38:57:08,-001:51:47, 704
 3907,ALMERIA                                 ,ES,+36:50:00,-002:27:17,   7
 3908,ALMERIA/AEROPUERTO                      ,ES,+36:50:47,-002:21:25,  21
 3909,ASTURIAS/AVILES                         ,ES,+43:34:01,-006:02:39, 127
 3910,GIJON                                   ,ES,+43:32:18,-005:38:31,   3
 3911,GIJON LA MERCED                         ,ES,+43:32:18,-005:38:31,  22
 3912,GIJON MUSEL                             ,ES,+43:33:39,-005:41:55,   5
 3913,OVIEDO                                  ,ES,+43:21:16,-005:52:22, 336
 3914,AVILA                                   ,ES,+40:39:33,-004:40:48,1130
 3915,AVILA-AYUNTAMIENTO                      ,ES,+40:39:20,-004:41:58,1143
 3916,IBIZA/ESCODOLA                          ,ES,+38:52:35,+001:23:04,   6
 3917,MENORCA/MAO                             ,ES,+39:51:17,+004:12:56,  91
 3918,PALMA DE MALLORCA CMT                   ,ES,+39:33:20,+002:37:35,   3
 3919,PALMA DE MALLORCA / SON SAN JUAN        ,ES,+39:33:39,+002:44:12,   8
  335,BARCELONA -FABRA OBSERVATORY            ,ES,+41:25:06,+002:07:26, 412
 2969,BARCELONA/AEROPUERTO                    ,ES,+41:17:34,+002:04:12,   4
  414,BURGOS-VILLAFRIA                        ,ES,+42:21:22,-003:37:57, 890
 3920,GIRONA-NOU INSTITUT                     ,ES,+41:58:44,+002:49:36,  98
 3921,CACERES CIUDAD                          ,ES,+39:29:00,-006:22:00, 459
  415,CADIZ                                   ,ES,+36:30:04,-006:15:24,   1
 1405,JEREZ DE LA FRONTERA                    ,ES,+36:45:02,-006:03:21,  27
 1406,TARIFA                                  ,ES,+36:00:55,-005:35:51,  32
 1392,SANTANDER CENTRO                        ,ES,+43:27:53,-003:49:08,  64
 3922,SANTANDER CMT                           ,ES,+43:29:30,-003:47:59,  52
 3923,SANTANDER/PARAYAS                       ,ES,+43:25:45,-003:49:53,   5
 3924,CASTELLON                               ,ES,+39:57:00,-000:04:17,  35
 3925,CASTELLON DE LA PLANA                   ,ES,+39:59:21,-000:02:26,  25
 3926,CEUTA                                   ,ES,+35:53:24,-005:20:45,  87
 3927,CEUTA (MONTE HACHO)                     ,ES,+35:53:32,-005:17:22, 200
  416,CIUDAD REAL                             ,ES,+38:59:22,-003:55:11, 628
 3928,CIUDAD REAL (INSTITUTO)                 ,ES,+38:59:21,-003:55:43, 627
 3929,CUENCA                                  ,ES,+40:04:00,-002:08:17, 945
 3931,GIRONA/COSTA BRAVA                      ,ES,+41:54:42,+002:45:48, 143
 3932,GRANADA/AEROPUERTO                      ,ES,+37:11:23,-003:47:22, 567
  417,GRANADA                                 ,ES,+37:08:13,-003:37:53, 687
 3933,GUADALAJARA                             ,ES,+40:39:40,-003:10:27, 639
 3934,GUADALAJARA (INSTITUTO)                 ,ES,+40:38:05,-003:09:52, 685
 3935,MOLINA DE ARAGON                        ,ES,+40:50:40,-001:53:07,1056
  418,HUELVA (RONDA DEL ESTE)                 ,ES,+37:16:48,-006:54:35,  19
 3937,HUELVA                                  ,ES,+37:15:35,-006:56:57,  17
  419,HUESCA                                  ,ES,+42:05:00,-000:19:35, 541
 3938,JAEN                                    ,ES,+37:46:40,-003:48:27, 582
 3939,JAEN (INSTITUTO)                        ,ES,+37:46:40,-003:47:17, 510
 1398,LOGRONO-AGONCILLO                       ,ES,+42:27:08,-002:19:52, 353
 3940,FUERTEVENTURA/AEROPUERTO                ,ES,+28:26:41,-013:51:47,  25
 2970,LANZAROTE/AEROPUERTO                    ,ES,+28:57:07,-013:36:01,  14
